2026-01-02 09:55:18 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10h33m28s67ms293µs800ns).
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=cookie=XSRF-TOKEN=46fac45a-09ae-4afb-a482-8f3c766f7112; JSESSIONID=5dc59fd6-200e-42ef-ae83-c79ef5f63d9f
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             locale=en_US
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             method=GET
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=response_type=code
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=client_id=client
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=scope=openid
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=redirect_uri=http://127.0.0.1:3000/authorized
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=code_challenge=_BiMz2Z_N_ULuO1BYzIyxxGR6udp7h74mUQ0W-2m35A
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9          parameter=code_challenge_method=S256
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9           pathInfo=null
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9           protocol=HTTP/1.1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9        queryString=response_type=code&client_id=client&scope=openid&redirect_uri=http://127.0.0.1:3000/authorized&code_challenge=_BiMz2Z_N_ULuO1BYzIyxxGR6udp7h74mUQ0W-2m35A&code_challenge_method=S256
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         remoteAddr=127.0.0.1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         remoteHost=127.0.0.1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         remoteUser=null
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 requestedSessionId=5dc59fd6-200e-42ef-ae83-c79ef5f63d9f
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             scheme=http
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         serverName=127.0.0.1
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         serverPort=9000
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9        servletPath=/oauth2/authorize
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9           isSecure=false
2026-01-02 09:55:38 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 ------------------=--------------------------------------------
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 ------------------=--------------------------------------------
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9           authType=null
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9        contentType=null
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Origin
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Method
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Headers
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Origin
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Method
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Headers
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Origin
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Method
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Vary=Access-Control-Request-Headers
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=X-Content-Type-Options=nosniff
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=X-XSS-Protection=0
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Cache-Control=no-cache, no-store, max-age=0, must-revalidate
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Pragma=no-cache
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Expires=0
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=X-Frame-Options=DENY
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             header=Location=http://127.0.0.1:9000/login
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9         remoteUser=null
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9             status=302
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 END TIME          =02-Jan-2026 09:55:39
2026-01-02 09:55:39 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-9 ===============================================================
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 START TIME        =02-Jan-2026 11:41:27
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         requestURI=/oauth2/authorize
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1           authType=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1  characterEncoding=UTF-8
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1      contentLength=-1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1        contentType=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1        contextPath=
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             cookie=XSRF-TOKEN=46fac45a-09ae-4afb-a482-8f3c766f7112
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             cookie=JSESSIONID=1c5d94e5-ae18-45ad-9549-9c6ce8bdcb24
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=host=127.0.0.1:9000
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=connection=keep-alive
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-ch-ua="Google Chrome";v="143", "Chromium";v="143", "Not A(Brand";v="24"
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-ch-ua-mobile=?0
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-ch-ua-platform="Windows"
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=upgrade-insecure-requests=1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-fetch-site=same-site
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-fetch-mode=navigate
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=sec-fetch-dest=document
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=referer=http://127.0.0.1:3000/
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=accept-encoding=gzip, deflate, br, zstd
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=accept-language=en-US,en;q=0.9,ru;q=0.8
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=cookie=XSRF-TOKEN=46fac45a-09ae-4afb-a482-8f3c766f7112; JSESSIONID=1c5d94e5-ae18-45ad-9549-9c6ce8bdcb24
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             locale=en_US
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             method=GET
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=response_type=code
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=client_id=client
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=scope=openid
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=redirect_uri=http://127.0.0.1:3000/authorized
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=code_challenge=r5zzneyd4Hoaw9CWHYQ8X0Tj07VPfMOpOjF2RdfdPyM
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1          parameter=code_challenge_method=S256
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1           pathInfo=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1           protocol=HTTP/1.1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1        queryString=response_type=code&client_id=client&scope=openid&redirect_uri=http://127.0.0.1:3000/authorized&code_challenge=r5zzneyd4Hoaw9CWHYQ8X0Tj07VPfMOpOjF2RdfdPyM&code_challenge_method=S256
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         remoteAddr=127.0.0.1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         remoteHost=127.0.0.1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         remoteUser=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 requestedSessionId=1c5d94e5-ae18-45ad-9549-9c6ce8bdcb24
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             scheme=http
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         serverName=127.0.0.1
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         serverPort=9000
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1        servletPath=/oauth2/authorize
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1           isSecure=false
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 ------------------=--------------------------------------------
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 ------------------=--------------------------------------------
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1           authType=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1        contentType=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Origin
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Method
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Headers
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Origin
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Method
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Headers
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Origin
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Method
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Vary=Access-Control-Request-Headers
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=X-Content-Type-Options=nosniff
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=X-XSS-Protection=0
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Cache-Control=no-cache, no-store, max-age=0, must-revalidate
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Pragma=no-cache
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Expires=0
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=X-Frame-Options=DENY
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             header=Location=http://127.0.0.1:9000/login
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1         remoteUser=null
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1             status=302
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 END TIME          =02-Jan-2026 11:41:27
2026-01-02 11:41:27 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-1 ===============================================================
2026-01-02 11:41:44 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=33m55s271ms988µs800ns).
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8 START TIME        =02-Jan-2026 12:16:28
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         requestURI=/oauth2/authorize
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8           authType=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8  characterEncoding=UTF-8
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8      contentLength=-1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8        contentType=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8        contextPath=
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             cookie=JSESSIONID=59eb7c7c-1957-461d-8b7d-bbc7936a4c76
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=host=127.0.0.1:9000
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=connection=keep-alive
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=cache-control=max-age=0
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=upgrade-insecure-requests=1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=accept=text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-fetch-site=same-origin
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-fetch-mode=navigate
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-fetch-user=?1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-fetch-dest=document
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-ch-ua="Google Chrome";v="143", "Chromium";v="143", "Not A(Brand";v="24"
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-ch-ua-mobile=?0
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=sec-ch-ua-platform="Windows"
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=referer=http://127.0.0.1:9000/login
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=accept-encoding=gzip, deflate, br, zstd
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=accept-language=en-US,en;q=0.9,ru;q=0.8
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=cookie=JSESSIONID=59eb7c7c-1957-461d-8b7d-bbc7936a4c76
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             locale=en_US
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             method=GET
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=response_type=code
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=client_id=client
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=scope=openid
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=redirect_uri=http://127.0.0.1:3000/authorized
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=code_challenge=r5zzneyd4Hoaw9CWHYQ8X0Tj07VPfMOpOjF2RdfdPyM
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=code_challenge_method=S256
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8          parameter=continue=
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8           pathInfo=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8           protocol=HTTP/1.1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8        queryString=response_type=code&client_id=client&scope=openid&redirect_uri=http://127.0.0.1:3000/authorized&code_challenge=r5zzneyd4Hoaw9CWHYQ8X0Tj07VPfMOpOjF2RdfdPyM&code_challenge_method=S256&continue
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         remoteAddr=127.0.0.1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         remoteHost=127.0.0.1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         remoteUser=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8 requestedSessionId=59eb7c7c-1957-461d-8b7d-bbc7936a4c76
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             scheme=http
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         serverName=127.0.0.1
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8         serverPort=9000
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8        servletPath=/oauth2/authorize
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8           isSecure=false
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8 ------------------=--------------------------------------------
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8 ------------------=--------------------------------------------
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8           authType=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8        contentType=null
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Origin
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Method
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Headers
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Origin
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Method
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Headers
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Origin
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Method
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Vary=Access-Control-Request-Headers
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=X-Content-Type-Options=nosniff
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=X-XSS-Protection=0
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Cache-Control=no-cache, no-store, max-age=0, must-revalidate
2026-01-02 12:16:28 INFO  o.a.c.filters.RequestDumperFilter - http-nio-9000-exec-8             header=Pragma=no-cache
